#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
436,Henry Davis,PIT,18,63,72,14,9,3,0,2,8,8,7,0,19,2,0,0,1,0,0.229
437,Hao-Yu Lee,DET,10,38,42,10,7,2,0,1,5,4,3,0,9,0,0,0,1,0,0.253
438,Chadwick Tromp,ATL,13,47,51,11,7,2,0,1,5,5,4,0,13,0,0,0,0,0,0.228
439,Matt Mervis,MIA,92,356,399,81,49,17,1,14,42,47,34,1,111,6,3,0,2,1,0.228
440,Matt Thaiss,CHW,28,94,109,20,14,4,0,2,11,10,13,0,29,1,1,0,1,0,0.213
441,Tom Murphy,SFG,36,129,146,29,19,6,0,4,15,15,14,0,42,1,1,0,1,0,0.222
442,Gage Workman,CHC,16,64,70,14,9,3,1,2,8,8,5,0,24,0,0,0,2,1,0.222
443,Jared Serna,MIA,23,89,98,21,14,5,0,2,11,10,6,0,20,1,1,0,2,1,0.231
444,Max Muncy,ATH,13,51,56,12,8,3,0,1,6,6,4,0,17,1,0,0,1,0,0.229
445,Logan Driscoll,TBR,8,29,32,7,5,2,0,1,3,3,2,0,8,0,0,0,0,0,0.233
446,Korey Lee,CHW,47,174,186,38,25,7,0,6,19,19,10,0,55,1,1,0,3,1,0.221
447,David Peralta,,50,197,217,49,32,11,1,5,22,23,16,1,46,2,2,0,1,1,0.246
448,Jacob Stallings,COL,75,260,294,60,40,13,0,6,28,31,27,0,68,5,2,1,1,0,0.23
449,Griffin Conine,MIA,75,288,322,64,40,11,1,11,34,38,28,0,112,3,2,0,0,0,0.221
450,Billy Cook,PIT,21,83,91,19,12,4,1,3,10,10,6,0,25,1,1,0,3,1,0.231
451,Casey Schmitt,SFG,11,45,49,11,7,2,0,1,5,6,3,0,11,1,0,0,1,0,0.243
452,Sam Huff,SFG,11,41,45,9,6,2,0,1,4,5,3,0,15,0,0,0,0,0,0.222
453,Grant McCray,SFG,28,108,119,24,15,5,1,3,14,13,9,0,39,1,1,0,4,1,0.224
454,DaShawn Keirsey Jr.,MIN,11,45,49,11,8,2,0,1,5,5,3,0,13,1,0,0,2,0,0.244
455,Ronny Mauricio,NYM,10,39,42,9,6,2,0,1,5,5,2,0,9,0,0,0,1,0,0.241
456,Tim Anderson,LAA,23,93,98,24,19,4,0,1,10,8,4,0,24,1,0,0,2,1,0.26
457,Manuel Margot,MIL,13,51,56,13,9,3,0,1,6,6,4,0,10,0,0,0,1,0,0.261
458,Brandon Drury,CHW,58,230,252,53,34,11,1,8,26,28,17,0,60,3,2,0,1,0,0.23
459,Max Acosta,MIA,15,58,63,15,10,3,0,1,7,6,4,0,11,1,0,0,2,1,0.25
460,Noelvi Marte,CIN,36,142,154,34,24,6,0,4,17,16,9,0,39,1,1,0,5,2,0.242
461,Eric Wagaman,MIA,34,135,147,34,22,7,1,4,16,16,10,0,30,1,1,0,2,1,0.248
462,Dylan Carlson,BAL,8,31,35,7,5,2,0,1,4,4,3,0,8,1,0,0,0,0,0.239
463,Myles Straw,TOR,16,63,70,14,11,3,0,0,7,5,6,0,14,0,1,0,3,0,0.228
464,Buddy Kennedy,PHI,10,37,42,9,6,2,0,1,5,4,4,0,9,1,0,0,0,0,0.235
465,Vidal Bruján,CHC,26,100,112,23,16,4,1,2,13,10,9,1,22,1,1,0,4,2,0.226
466,Victor Mesa Jr.,MIA,23,90,98,21,14,4,0,2,10,10,6,0,23,1,1,0,1,0,0.23
467,J.C. Escarra,NYY,10,35,39,8,5,2,0,1,4,4,3,0,7,1,0,0,0,0,0.224
468,Adam Duvall,,36,141,154,30,16,6,0,6,16,20,10,0,49,2,1,0,1,0,0.209
469,Jeferson Quero,MIL,6,23,26,5,4,1,0,1,3,3,2,0,6,0,0,0,0,0,0.229
470,Juan Yepez,WSN,23,89,98,22,14,5,0,3,11,12,8,0,19,1,1,0,1,0,0.248
471,Pablo Reyes,NYY,8,31,35,8,5,1,0,1,4,4,3,0,7,0,0,0,1,0,0.24
472,Luis Guillorme,HOU,8,31,35,7,6,1,0,0,3,3,4,0,6,0,0,0,1,0,0.243
473,Shay Whitcomb,HOU,6,26,28,6,4,1,0,1,3,4,2,0,8,0,0,0,1,0,0.23
474,Marcelo Mayer,BOS,6,26,28,6,4,2,0,1,3,3,2,0,6,0,0,0,1,0,0.244
475,Robbie Grossman,,28,102,119,22,15,5,0,2,13,11,15,0,30,1,1,0,1,0,0.221
476,Joey Wiemer,KCR,34,131,147,28,18,7,1,3,16,14,14,0,42,1,1,0,4,1,0.218
477,Cal Stevenson,PHI,10,36,42,8,5,2,0,1,5,4,6,0,9,0,0,0,2,0,0.227
478,Jose Herrera,ARI,19,68,77,15,11,3,0,1,8,6,7,0,17,0,0,1,0,0,0.222
479,Austin Shenton,SEA,8,31,35,7,4,2,0,1,4,4,4,0,12,0,0,0,0,0,0.215
480,Brandon Lockridge,SDP,10,38,42,9,6,2,0,1,5,4,4,0,12,0,0,0,2,0,0.236
481,Kevin Alcántara,CHC,11,45,49,11,8,2,0,1,5,5,3,0,14,0,0,0,1,0,0.238
482,Weston Wilson,PHI,19,75,84,16,10,3,0,3,10,10,8,0,25,0,1,0,2,1,0.22
483,Tyler Wade,SDP,21,82,91,18,14,3,0,1,11,7,7,0,21,1,0,1,5,1,0.225
484,J.D. Davis,LAA,26,100,112,22,14,4,0,3,11,12,10,0,37,1,1,0,0,0,0.224
485,Bryan Ramos,CHW,28,109,119,24,16,4,0,4,12,13,8,0,28,2,1,0,1,1,0.226
486,Jonatan Clase,TOR,8,31,35,7,4,1,0,1,4,4,3,0,10,0,0,0,2,1,0.22
487,Brett Harris,ATH,5,18,21,4,3,1,0,0,2,2,2,0,5,0,0,0,0,0,0.226
488,Luken Baker,STL,29,111,126,24,14,4,0,5,13,17,13,0,34,1,1,0,0,0,0.215
489,Bryan De La Cruz,ATL,26,104,112,26,17,5,0,4,12,14,7,0,30,1,1,0,1,0,0.247
490,Jahmai Jones,DET,5,18,21,4,3,1,0,0,2,2,2,0,5,0,0,0,1,0,0.227
491,Oscar Colás,CHW,44,172,189,41,28,7,1,5,20,20,14,1,49,2,1,0,3,1,0.237
492,Tyler Gentry,KCR,8,31,35,7,5,2,0,1,4,4,3,0,10,0,0,0,0,0,0.234
493,Miles Mastrobuoni,SEA,6,25,28,6,4,1,0,0,3,2,3,0,6,0,0,0,1,0,0.234
494,Jair Camargo,MIN,5,18,19,4,2,1,0,1,2,2,1,0,7,0,0,0,0,0,0.216
495,Jimmy Crooks,STL,3,11,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.242
496,Cam Smith,HOU,13,51,56,11,7,2,1,2,7,7,4,0,14,1,0,0,1,0,0.212
497,Riley Adams,WSN,29,103,115,23,14,5,0,3,11,13,9,0,33,2,1,0,1,0,0.221
498,Jon Singleton,HOU,21,78,91,16,10,3,0,3,10,10,12,0,26,0,1,0,0,0,0.211
499,Jason Delay,PIT,5,17,19,4,3,1,0,0,2,2,1,0,4,0,0,0,0,0,0.233
500,Owen Caissie,CHC,8,31,35,7,5,2,0,1,4,4,3,0,11,0,0,0,0,0,0.238
