#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
45,Nick Martinez,CIN,23,49,168,707,10,9,11,0,1,,168,80,74,21,,6,143,43,7.7,2.31,4,1.26
46,Brayan Bello,BOS,29,29,163,703,11,11,15,0,0,,161,81,74,17,,7,150,58,8.27,3.22,4.09,1.35
47,Carlos Rodón,NYY,31,31,171,714,12,10,16,0,0,,149,82,76,26,,8,191,54,10.05,2.84,4.01,1.19
48,Tanner Bibee,CLE,29,29,167,696,10,9,16,0,0,,151,74,68,22,,7,171,47,9.21,2.53,3.68,1.18
49,Zac Gallen,ARI,29,29,170,709,12,9,16,0,0,,155,75,69,19,,6,167,53,8.87,2.81,3.69,1.23
50,Grayson Rodriguez,BAL,28,28,157,657,10,9,16,0,0,,141,70,65,20,,6,168,49,9.6,2.8,3.72,1.21
51,Brandon Woodruff,MIL,24,24,142,583,9,8,14,0,0,,123,62,57,19,,6,157,40,9.96,2.53,3.6,1.15
52,Jared Jones,PIT,28,36,159,666,9,10,14,0,1,,144,74,69,20,,7,162,51,9.19,2.91,3.9,1.23
53,Mitch Keller,PIT,31,31,180,770,10,11,16,0,0,,177,89,83,22,,12,163,54,8.14,2.72,4.13,1.28
54,Jack Flaherty,DET,29,29,164,690,11,9,16,0,0,,146,75,69,22,,8,178,52,9.78,2.87,3.79,1.21
55,Bailey Ober,MIN,29,29,167,688,10,10,15,0,0,,152,79,74,26,,6,171,40,9.24,2.18,3.97,1.16
56,Kodai Senga,NYM,26,36,160,676,10,8,14,0,1,,134,70,65,18,,5,173,68,9.73,3.83,3.64,1.26
57,Clay Holmes,NYM,21,52,159,691,12,9,11,0,1,,157,70,64,12,,8,144,56,8.11,3.16,3.6,1.34
58,Nick Pivetta,,29,29,165,689,11,10,15,0,0,,148,80,75,26,,5,183,52,9.96,2.84,4.07,1.21
59,Brady Singer,CIN,29,29,167,717,9,11,14,0,0,,169,91,84,25,,10,159,49,8.62,2.66,4.54,1.31
60,Drew Rasmussen,TBR,19,43,125,510,9,6,10,0,1,,112,49,45,12,,4,122,31,8.78,2.24,3.25,1.14
61,Nestor Cortes,MIL,23,41,148,609,9,7,11,0,1,,133,66,62,21,,4,148,39,9.02,2.35,3.76,1.16
62,Taj Bradley,TBR,29,29,159,667,10,10,15,0,0,,143,76,70,22,,5,166,53,9.37,2.97,3.96,1.23
63,Bryce Miller,SEA,31,31,172,707,10,10,17,0,0,,155,77,72,23,,7,162,45,8.5,2.37,3.77,1.17
64,Yu Darvish,SDP,29,29,164,684,11,10,15,0,0,,151,80,75,24,,9,156,45,8.52,2.46,4.1,1.19
65,Germán Márquez,COL,28,28,153,660,8,11,13,0,0,,161,86,80,21,,4,127,52,7.44,3.05,4.67,1.39
66,José Soriano,LAA,26,26,146,630,9,8,14,0,0,,132,70,65,14,,13,142,63,8.74,3.86,3.98,1.33
67,Brandon Pfaadt,ARI,23,35,140,584,9,7,11,0,1,,134,66,61,18,,6,138,33,8.89,2.11,3.91,1.19
68,Jesús Luzardo,PHI,26,41,158,666,10,9,12,0,1,,143,78,73,23,,6,163,55,9.29,3.1,4.14,1.25
69,Chris Bassitt,TOR,31,31,177,759,11,11,16,0,0,,169,87,80,22,,12,161,60,8.2,3.07,4.09,1.3
70,Michael Wacha,KCR,28,28,155,656,9,9,14,0,0,,153,77,72,21,,5,132,46,7.65,2.65,4.17,1.28
71,Nick Lodolo,CIN,23,23,122,522,7,8,11,0,0,,110,62,58,16,,15,133,40,9.83,2.95,4.25,1.23
72,Shohei Ohtani,LAD,21,21,123,503,9,5,12,0,0,,98,53,49,16,,8,137,44,10.1,3.2,3.63,1.15
73,Sean Manaea,NYM,31,31,178,751,11,9,16,0,0,,162,89,82,25,,8,178,60,9.05,3.06,4.17,1.25
74,Ryan Pepiot,TBR,29,29,155,651,10,9,15,0,0,,134,73,68,21,,9,164,57,9.57,3.33,3.93,1.24
75,Reese Olson,DET,26,26,134,568,8,8,14,0,0,,125,63,58,15,,5,124,45,8.3,3.01,3.9,1.26
76,Erick Fedde,STL,31,31,175,745,10,11,16,0,0,,174,88,82,25,,5,153,55,7.91,2.82,4.21,1.31
77,Max Scherzer,TOR,21,27,122,500,8,6,11,0,1,,108,54,51,18,,6,127,30,9.37,2.2,3.76,1.13
78,José Berríos,TOR,32,32,194,822,12,12,17,0,0,,191,97,90,28,,11,167,53,7.76,2.48,4.18,1.26
79,Eduardo Rodriguez,ARI,24,34,145,614,10,8,12,0,1,,141,67,62,17,,4,134,45,8.31,2.82,3.84,1.29
80,Alex Cobb,DET,23,23,121,516,7,7,12,0,0,,122,56,51,11,,4,99,37,7.42,2.74,3.82,1.32
81,Bryan Woo,SEA,26,26,134,547,8,7,14,0,0,,122,60,55,18,,7,125,29,8.4,1.97,3.71,1.13
82,Kumar Rocker,TEX,23,36,122,508,6,6,11,0,1,,111,56,51,15,,4,125,36,9.26,2.66,3.81,1.21
83,Ryan Feltner,COL,31,31,170,738,7,11,14,0,0,,177,97,90,24,,7,147,60,7.78,3.18,4.78,1.4
84,Walker Buehler,BOS,26,40,150,641,8,8,12,0,1,,152,76,71,19,,6,129,46,7.77,2.77,4.26,1.32
85,Clarke Schmidt,NYY,21,45,135,574,8,8,10,0,1,,123,64,59,17,,8,136,44,9.01,2.95,3.94,1.24
86,Jeffrey Springs,ATH,26,34,133,554,8,7,13,0,1,,124,59,55,18,,3,131,37,8.87,2.52,3.72,1.22
87,Matthew Boyd,CHC,23,35,126,527,8,6,11,0,1,,113,57,53,16,,6,128,40,9.15,2.84,3.78,1.21
88,Luis Gil,NYY,28,38,153,658,10,10,13,0,1,,129,77,71,21,,7,171,74,10.06,4.33,4.19,1.32
89,Jon Gray,TEX,23,45,145,616,8,9,10,3,1,,140,75,70,19,,6,133,44,8.25,2.73,4.32,1.26
90,David Peterson,NYM,26,34,147,637,9,8,13,0,1,,140,70,64,15,,8,137,58,8.37,3.56,3.89,1.34
91,Andrew Abbott,CIN,28,28,152,652,9,10,13,0,0,,148,83,77,26,,4,145,55,8.6,3.28,4.57,1.34
92,Andre Pallante,STL,24,41,153,662,9,9,12,0,1,,153,73,67,12,,5,113,61,6.65,3.62,3.92,1.41
93,Reid Detmers,LAA,18,36,116,492,7,8,8,0,1,,104,57,53,16,,6,128,41,9.92,3.14,4.1,1.24
94,Kutter Crawford,BOS,23,49,151,635,9,10,9,0,1,,145,79,74,24,,6,145,43,8.61,2.54,4.38,1.24
95,Robbie Ray,SFG,28,28,151,632,9,9,15,0,0,,136,71,65,22,,6,161,48,9.64,2.88,3.91,1.22
96,Gavin Williams,CLE,26,26,131,555,8,8,13,0,0,,117,63,58,16,,6,132,50,9.07,3.43,3.98,1.28
97,Tyler Mahle,TEX,26,26,141,592,8,8,13,0,0,,132,72,67,20,,5,131,45,8.38,2.86,4.27,1.26
98,Miles Mikolas,STL,31,31,174,735,9,12,15,0,0,,187,93,86,26,,6,122,34,6.29,1.75,4.45,1.27
