#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
336,Ronny Henriquez,MIN,0,22,22,95,1,1,0,0,1,,22,11,10,3,,1,19,8,7.68,3.18,4.18,1.35
337,Jesse Chavez,TEX,0,53,53,227,2,2,0,0,7,,52,27,25,7,,2,48,18,8.14,3.05,4.21,1.33
338,Jack Neely,CHC,0,15,15,64,1,1,0,0,1,,13,7,7,2,,1,16,6,9.43,3.54,4.1,1.28
339,Matt Festa,,0,21,21,90,1,1,0,0,1,,19,11,10,3,,1,20,8,8.53,3.5,4.31,1.32
340,Dane Acker,TEX,2,12,18,80,1,1,1,0,1,,18,11,10,3,,1,15,8,7.63,3.87,4.9,1.42
341,JT Chargois,,0,51,51,217,2,2,0,0,0,,47,25,23,6,,3,46,21,8.17,3.63,4.07,1.32
342,Avery Weems,TEX,0,16,16,68,1,1,0,0,1,,15,8,7,2,,1,14,6,7.98,3.15,3.94,1.32
343,Jimmy Herget,COL,0,46,46,201,3,3,0,0,1,,49,26,24,7,,3,40,15,7.76,2.84,4.79,1.38
344,Alex Faedo,TBR,0,57,57,242,3,3,0,0,11,,52,28,26,8,,2,56,21,8.83,3.34,4.13,1.28
345,Rob Zastryzny,CHC,0,8,8,34,0,0,0,0,1,,7,4,3,1,,0,8,3,8.44,3.18,3.89,1.28
346,Brent Headrick,MIN,0,36,36,153,2,2,0,0,1,,34,18,16,5,,2,36,12,9.01,3.01,4.12,1.28
347,Kyle Nelson,ARI,0,21,21,90,1,1,0,0,1,,20,10,9,3,,1,20,8,8.63,3.42,4.01,1.32
348,Allan Winans,NYY,0,13,13,55,1,1,0,0,1,,13,7,6,2,,1,11,3,7.36,2.14,4.18,1.23
349,Ian Gibaut,CIN,0,21,21,92,1,1,0,0,1,,21,11,11,3,,1,20,8,8.55,3.58,4.58,1.39
350,Josh Simpson,MIA,0,41,41,180,2,2,0,0,1,,37,21,19,5,,3,44,21,9.62,4.54,4.13,1.41
351,Logan Henderson,MIL,0,10,10,42,1,1,0,0,1,,9,5,5,2,,0,10,3,9.38,2.65,4.08,1.2
352,Blas Castano,SEA,2,28,34,149,2,2,1,0,1,,35,18,16,4,,3,26,11,6.75,2.92,4.3,1.34
353,Cristian Javier,HOU,0,21,21,88,1,1,0,0,1,,18,10,9,3,,1,22,8,9.39,3.38,4.04,1.24
354,Michael Kelly,ATH,0,26,26,112,2,1,0,0,1,,25,13,12,3,,1,24,10,8.34,3.49,4.15,1.34
355,Andrew Morris,MIN,0,10,10,43,1,1,0,0,1,,10,5,5,1,,0,8,3,7.11,2.43,4.14,1.29
356,Jake Eder,CHW,2,23,29,131,1,2,1,0,1,,30,17,16,4,,2,25,14,7.7,4.27,4.81,1.48
357,Miguel Castro,HOU,0,33,33,142,2,2,0,0,1,,31,17,16,4,,2,31,13,8.36,3.64,4.29,1.34
358,Jordan Balazovic,DET,0,8,8,35,0,0,0,0,1,,8,4,4,1,,0,7,3,8.16,3.66,4.06,1.35
359,Colten Brewer,NYY,0,21,21,92,1,1,0,0,1,,20,11,11,3,,1,20,9,8.36,3.66,4.5,1.36
360,Hayden Harris,ATL,0,40,40,175,3,2,0,0,1,,37,20,18,5,,2,43,19,9.77,4.2,4.11,1.38
361,Vince Velasquez,,0,12,12,51,1,1,0,0,1,,11,6,5,2,,0,12,4,9.2,3.01,4.01,1.26
362,Camden Minacci,LAA,0,10,10,44,1,1,0,0,1,,10,5,5,1,,1,9,4,8.47,3.82,4.31,1.39
363,Luis Frías,CLE,0,24,24,105,1,1,0,0,1,,22,12,11,3,,1,24,11,9.02,4.13,4.25,1.39
364,Dylan Covey,,0,12,12,52,1,1,0,0,1,,12,6,5,1,,0,9,5,7.12,3.5,4.05,1.4
365,Yohan Ramírez,PIT,0,22,22,97,1,1,0,0,1,,21,11,11,2,,3,20,10,8.27,3.89,4.34,1.37
366,Alex Young,CIN,0,22,22,96,1,1,0,0,1,,23,12,11,3,,1,19,8,7.94,3.41,4.63,1.41
367,Anthony Molina,COL,0,33,33,145,1,2,0,0,1,,37,19,18,4,,1,23,10,6.27,2.77,4.89,1.42
368,Zach Maxwell,CIN,0,37,37,163,2,3,0,0,1,,33,20,19,5,,2,41,21,9.92,5.08,4.62,1.45
369,Carson Seymour,SFG,0,28,28,121,1,2,0,0,1,,28,14,12,3,,2,23,9,7.28,2.92,4,1.34
370,Matt Gage,DET,0,17,17,73,1,1,0,0,1,,16,8,7,2,,1,16,7,8.23,3.85,3.97,1.36
371,Tommy Nance,TOR,0,54,54,233,3,3,0,0,7,,53,27,25,7,,3,48,19,8.02,3.21,4.15,1.33
372,Andrew Misiaszek,CLE,0,39,39,169,2,2,0,0,1,,35,18,17,5,,2,40,18,9.31,4.05,3.99,1.36
373,Tyler Mattison,DET,0,28,28,120,1,1,0,0,1,,25,13,12,3,,1,28,12,8.87,3.84,4.01,1.33
374,Mason Englert,DET,0,10,10,43,1,1,0,0,1,,10,5,5,1,,1,9,3,7.87,2.77,4.23,1.27
375,Yerry De Los Santos,NYY,0,38,38,163,2,2,0,0,1,,38,19,18,5,,1,31,14,7.26,3.21,4.24,1.35
376,Tyler Phillips,PHI,0,43,43,186,2,3,0,0,1,,45,23,22,6,,2,32,14,6.68,2.88,4.51,1.37
377,Carson Ragsdale,SFG,0,34,34,147,2,2,0,0,1,,32,17,15,4,,2,34,13,9.06,3.37,4.06,1.31
378,Edgardo Henriquez,LAD,0,40,40,174,2,1,0,0,1,,35,21,20,5,,3,42,19,9.55,4.38,4.41,1.37
379,Jack Perkins,ATH,0,10,10,43,0,0,0,0,1,,9,5,4,1,,1,9,4,8.36,3.55,4.04,1.32
380,Trevor Richards,CHC,0,26,26,111,1,1,0,0,1,,22,13,12,4,,1,28,12,9.77,4.07,4.24,1.32
