#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
54,Michael Harris II,ATL,144,495.6633166,539,134.5242881,86.67336683,27.98827471,4.514237856,15.34840871,74.03350084,60.49078727,34.30820771,2.708542714,119.1758794,5.417085427,2.708542714,0.902847571,17.15410385,3.611390285,13.54271357,0.272,0.323825503,0.438979964,0.762805467,0.327543424,22.11055276,6.365159129,505,539,148,94,33,3,18,76,57,25,1,101,5,3,1,20,4,16,0.293,0.331,0.477,0.808,0.334,18.7,4.6,0.7272727272803554,0.23484848488853258,0.03787878788145773,0.0284757118923933,0.7230769230769231,0.25384615384615383,0.023076923076923078,0.0333951762523191,119.17587939,130
55,Ozzie Albies,ATL,141,603.6180905,660,155.879397,92.86432161,35.37688442,3.316582915,24.32160804,88.44221106,81.80904523,44.22110553,2.211055276,126.0301508,5.527638191,5.527638191,0.0,18.79396985,5.527638191,13.26633166,0.258,0.312080537,0.448717949,0.760798486,0.286746988,19.09547739,6.700167504,596,660,167,99,30,5,33,96,109,46,2,107,8,8,0,13,1,12,0.28,0.336,0.513,0.849,0.289,16.2,7.0,0.7058823528741068,0.268907562977942,0.025210084033932822,0.0368509212727272,0.7388059701492538,0.22388059701492538,0.03731343283582089,0.05,131.55778896,134
56,Javier Baez,DET,142,507.5352349,547,127.5721477,82.60067114,23.86241611,2.753355705,18.3557047,65.16275168,62.40939597,27.53355705,0.917785235,140.4211409,6.424496644,3.67114094,0.917785235,11.93120805,3.67114094,8.260067114,0.251,0.296296296,0.417721519,0.714017815,0.309895833,25.67114094,5.033557047,510,547,113,82,18,4,9,58,59,24,0,125,9,3,0,12,0,12,0.222,0.267,0.325,0.593,0.274,22.9,4.4,0.7563025206744739,0.21848739488796573,0.02521008402553451,0.0335570469835466,0.7884615384615384,0.17307692307692307,0.038461538461538464,0.016453382084095,109.216443,104
57,Yordan Alvarez,HOU,140,426.810084,496,122.5411765,65.85546218,25.84201681,1.667226891,28.34285714,75.02521008,81.69411765,60.02016807,6.668907563,105.0352941,5.001680672,4.168067227,0.0,0.833613445,0.0,0.833613445,0.287,0.378151261,0.552734375,0.930885636,0.316526611,21.17647059,12.10084034,410,496,120,64,24,1,31,77,97,69,5,92,13,4,0,0,0,0,0.293,0.407,0.583,0.99,0.306,18.5,13.9,0.699115043956555,0.2743362831266547,0.017699115040771787,0.0571428571370967,0.7191011235955056,0.2696629213483146,0.011235955056179775,0.0625,94.19831936,89
58,Josh Bell,CLE,142,535.0789916,617,141.0285714,93.32773109,26.96134454,1.03697479,18.66554622,75.69915966,76.73613445,70.51428571,3.11092437,104.7344538,5.18487395,5.18487395,0.0,1.03697479,0.0,1.03697479,0.263,0.351851852,0.420542636,0.772394488,0.293532338,16.97478992,11.42857143,547,617,135,85,28,0,22,52,74,63,2,134,2,3,0,0,1,-1,0.247,0.325,0.419,0.744,0.287,21.7,10.2,0.7627118645743831,0.2203389831228754,0.008474576273956745,0.0302521008427876,0.7522123893805309,0.24778761061946902,0.0,0.0356564019448946,122.36302518000001,113
59,J.P. Crawford,SEA,145,563.8888889,638,135.3333333,103.1111111,24.7037037,2.148148148,5.37037037,63.37037037,47.25925926,61.22222222,1.074074074,93.44444444,7.518518519,4.296296296,1.074074074,5.37037037,2.148148148,3.222222222,0.24,0.320404722,0.32,0.640404722,0.276887872,14.64646465,9.595959596,534,638,142,88,35,0,19,94,65,94,1,125,5,2,3,2,0,2,0.266,0.38,0.438,0.818,0.314,19.6,14.7,0.7933884298678016,0.19008264464781233,0.016528925622887075,0.0084175084169278,0.7154471544715447,0.2845528455284553,0.0,0.0297805642633228,129.96296293,123
60,Andrew Vaughn,CHW,143,553.8111298,615,147.2681282,96.45025295,29.03878583,1.037099494,19.70489039,72.59696459,73.63406408,46.66947723,1.037099494,109.9325464,9.333895447,4.148397976,1.037099494,1.037099494,0.0,1.037099494,0.265,0.331081081,0.426966292,0.758047373,0.297820823,17.87521079,7.588532884,566,615,146,93,30,2,21,67,80,36,0,129,11,2,0,0,0,0,0.258,0.314,0.429,0.743,0.299,21.0,5.9,0.7560975607538164,0.22764227632142758,0.00813008129775379,0.0320404721788617,0.744,0.24,0.016,0.0341463414634146,127.56323781,125
61,Ryan Mountcastle,BAL,140,427.1283784,470,111.1486486,69.07094595,20.64189189,1.587837838,19.05405405,57.16216216,62.71959459,34.93243243,2.381756757,115.1182432,3.969594595,3.969594595,0.0,3.175675676,0.793918919,2.381756757,0.259,0.319256757,0.44795539,0.767212147,0.310160428,24.49324324,7.432432432,423,470,114,74,21,1,18,64,68,37,1,107,3,7,0,3,1,2,0.27,0.328,0.452,0.779,0.315,22.8,7.9,0.75000000040719,0.22413793112247327,0.017241379320454372,0.0405405405319148,0.7708333333333334,0.21875,0.010416666666666666,0.0382978723404255,92.09459455,96
62,Nick Castellanos,PHI,139,616.5025381,671,163.4923858,99.91201354,36.33164129,2.27072758,24.97800338,82.88155668,88.55837563,43.14382403,2.27072758,158.9509306,5.676818951,4.541455161,1.13536379,4.541455161,1.13536379,3.406091371,0.264,0.316949153,0.453038674,0.769987827,0.316883117,23.68866328,6.429780034,626,671,170,102,37,2,29,79,106,36,0,185,3,6,0,11,2,9,0.272,0.311,0.476,0.788,0.337,27.6,5.4,0.721311475345926,0.2622950819636626,0.016393442618216743,0.0372250422950819,0.723404255319149,0.2624113475177305,0.014184397163120567,0.0432190760059612,138.51438242,141
63,Taylor Ward,LAA,140,358.3949153,409,94.2779661,56.8440678,19.41016949,1.386440678,16.63728814,56.15084746,50.60508475,42.97966102,1.386440678,94.2779661,4.852542373,2.772881356,0.693220339,4.159322034,1.386440678,2.772881356,0.264,0.347457627,0.464216634,0.811674262,0.310249307,23.05084746,10.50847458,356,409,90,58,18,0,14,60,47,39,0,80,8,6,0,4,2,2,0.253,0.335,0.421,0.756,0.284,19.6,9.5,0.7321428572440558,0.25,0.017857142858982836,0.0406779661124694,0.7631578947368421,0.23684210526315788,0.0,0.0342298288508557,77.64067796,76
64,Andres Gimenez,CLE,146,555.4440678,616,144.0813559,97.09830508,27.14576271,4.176271186,15.66101695,79.34915254,65.77627119,36.54237288,3.13220339,131.5525424,16.70508475,4.176271186,3.13220339,22.96949153,5.220338983,17.74915254,0.259,0.32197615,0.407894737,0.729870887,0.311392405,21.3559322,5.93220339,557,616,140,93,27,5,15,76,62,32,3,112,20,3,4,30,6,24,0.251,0.314,0.399,0.712,0.289,18.2,5.2,0.7560975611332476,0.21138211386102249,0.032520325208190086,0.025423728814935,0.744,0.216,0.04,0.0243506493506493,128.42033895,125
65,Jorge Polanco,MIN,138,302.2359932,343,76.28692699,46.00509338,15.72325976,1.747028862,12.81154499,44.25806452,40.76400679,34.3582343,1.164685908,70.46349745,2.329371817,2.911714771,0.582342954,5.241086587,1.164685908,4.076400679,0.252,0.330494037,0.443159923,0.77365396,0.286089239,20.54329372,10.01697793,302,343,77,45,18,0,14,38,48,36,0,88,2,3,0,4,0,4,0.255,0.335,0.454,0.789,0.31,25.7,10.5,0.7247706422625388,0.24770642199522327,0.027522935773746114,0.0373514431195335,0.7142857142857143,0.2857142857142857,0.0,0.0408163265306122,63.475381999999996,63
66,Teoscar Hernandez,SEA,138,616.991511,678,155.3989813,89.7860781,32.23089983,2.302207131,31.07979626,87.48387097,89.7860781,51.79966044,2.302207131,189.9320883,4.604414261,4.604414261,1.151103565,11.51103565,3.453310696,8.057724958,0.252,0.312393888,0.462686567,0.775080455,0.310344828,28.01358234,7.640067912,625,678,161,104,29,2,26,70,93,38,2,211,8,7,0,7,2,5,0.258,0.305,0.435,0.741,0.342,31.1,5.6,0.7222222223473481,0.2592592592979887,0.018518518523583136,0.0458404074631268,0.7703703703703704,0.21481481481481482,0.014814814814814815,0.0383480825958702,124.31918504000001,135
67,Jeremy Pena,HOU,142,585.5619694,634,147.466893,97.9524618,26.91001698,4.305602716,19.37521222,79.65365025,71.04244482,34.44482173,0.0,158.2308998,8.611205433,3.229202037,1.076400679,12.91680815,3.229202037,9.687606112,0.252,0.30153322,0.413602941,0.715136161,0.311518325,24.95755518,5.432937182,577,634,152,107,32,3,10,81,52,43,1,129,9,1,1,13,9,4,0.263,0.324,0.381,0.705,0.323,20.3,6.8,0.7647058825641869,0.2100840336869222,0.033613445383662025,0.0305602716403785,0.7535211267605634,0.22535211267605634,0.02112676056338028,0.0157728706624605,128.09168078,142
68,Riley Greene,DET,135,370.7979626,416,91.11035654,61.44651952,17.65704584,2.825127334,9.181663837,47.32088285,39.55178268,38.13921902,0.706281834,109.4736842,4.237691002,2.118845501,0.0,4.943972835,1.412563667,3.531409168,0.246,0.321428571,0.382857143,0.704285714,0.322222222,26.31578947,9.168081494,378,416,109,75,19,4,11,51,37,35,0,114,1,2,0,7,0,7,0.288,0.349,0.447,0.796,0.384,27.4,8.4,0.7499999999115085,0.2155172413651054,0.034482758613534566,0.0220713073004807,0.7653061224489796,0.19387755102040816,0.04081632653061224,0.0264423076923076,81.928692703,98
69,Ryan McMahon,COL,142,555.5561224,627,137.5561224,86.37244898,28.79081633,2.132653061,21.32653061,78.90816327,73.57653061,61.84693878,1.066326531,156.75,5.331632653,4.265306122,0.0,6.397959184,2.132653061,4.265306122,0.248,0.326530612,0.424184261,0.750714873,0.304469274,25.0,9.863945578,555,627,133,76,31,3,23,80,70,68,2,198,1,3,0,5,5,0,0.24,0.322,0.431,0.753,0.326,31.6,10.8,0.743119266357358,0.2477064221477982,0.018348623858657365,0.0340136054385964,0.6909090909090909,0.2818181818181818,0.02727272727272727,0.036682615629984,116.22959179,110
70,Jeff McNeil,NYM,142,584.8615385,648,161.7230769,117.4153846,32.12307692,3.323076923,8.861538462,72.0,68.67692308,45.41538462,2.215384615,77.53846154,13.29230769,4.430769231,0.0,3.323076923,1.107692308,2.215384615,0.276,0.34017094,0.388257576,0.728428516,0.303964758,11.96581197,7.008547009,585,648,158,119,25,4,10,75,55,39,0,65,18,3,3,10,0,10,0.27,0.333,0.378,0.711,0.288,10.0,6.0,0.7681159420466201,0.21014492754846237,0.0217391304376269,0.0136752136759259,0.8040540540540541,0.16891891891891891,0.02702702702702703,0.015432098765432,152.861538438,148
71,Ke'Bryan Hayes,PIT,137,471.9606164,525,122.260274,86.30136986,24.27226027,2.696917808,8.090753425,62.02910959,49.44349315,44.94863014,0.0,102.4828767,4.494863014,3.595890411,0.898972603,13.48458904,3.595890411,9.88869863,0.259,0.327054795,0.371428571,0.698483366,0.312807882,19.52054795,8.561643836,494,525,134,81,31,7,15,65,61,28,1,104,0,3,0,10,6,4,0.271,0.309,0.453,0.762,0.315,19.8,5.3,0.7559055116054997,0.21259842511167523,0.023622047236577,0.0154109589047619,0.680672268907563,0.2605042016806723,0.058823529411764705,0.0285714285714285,114.16952057499999,119
72,Gunnar Henderson,BAL,141,551.5849057,622,135.4957118,86.41852487,28.80617496,4.267581475,17.0703259,75.74957118,66.14751286,60.81303602,1.066895369,168.5694683,5.334476844,4.267581475,0.0,9.602058319,2.133790738,7.468267581,0.246,0.324185249,0.408123791,0.73230904,0.319884726,27.10120069,9.777015437,560,622,143,77,29,9,28,100,82,56,1,159,3,3,0,10,3,7,0.255,0.325,0.489,0.814,0.306,25.6,9.0,0.7297297299328454,0.24324324333909558,0.03603603604554519,0.0274442538585209,0.6695652173913044,0.25217391304347825,0.0782608695652174,0.045016077170418,118.42538590000001,115
73,Ketel Marte,ARI,138,579.6391753,650,154.1237113,97.16494845,35.73883162,2.233676976,18.9862543,78.17869416,81.52920962,59.19243986,3.350515464,110.5670103,5.58419244,4.467353952,0.0,4.467353952,1.116838488,3.350515464,0.266,0.337349398,0.433526012,0.770875409,0.297297297,17.01030928,9.10652921,569,650,157,97,26,9,25,94,82,71,2,109,5,5,0,8,2,6,0.276,0.358,0.485,0.844,0.3,16.8,10.9,0.7190082646737981,0.26446281004089045,0.016528925625705685,0.0292096219999999,0.7348484848484849,0.19696969696969696,0.06818181818181818,0.0384615384615384,135.13745699999998,132
