#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
320,Joey Loperfido,TOR,42,164,182,38,22,8,1,6,23,24,13,1,57,3,1,0,5,1,0.229
321,Alex Jackson,NYY,32,115,128,24,12,6,0,5,15,18,9,0,40,2,0,0,0,0,0.204
322,Tyler Soderstrom,ATH,122,474,522,105,62,19,2,22,50,69,39,2,142,6,3,0,0,1,0.222
323,Rafael Marchán,PHI,36,125,141,29,21,6,1,2,15,14,11,0,22,3,1,1,0,0,0.233
324,Taylor Walls,TBR,57,214,245,44,29,9,1,4,30,21,29,0,61,1,1,1,11,3,0.206
325,Esteury Ruiz,ATH,26,99,112,25,17,5,1,3,14,13,7,0,25,4,1,1,10,3,0.254
326,Jason Heyward,SDP,81,315,350,70,43,17,1,10,40,39,29,1,74,4,2,0,5,1,0.223
327,Jose Iglesias,SDP,87,355,378,92,68,19,1,5,41,37,16,0,62,5,2,0,3,2,0.26
328,Nick Castellanos,PHI,147,589,637,152,98,31,2,21,74,86,38,2,147,6,4,0,6,1,0.259
329,Curtis Mead,TBR,57,222,245,57,38,13,1,5,28,30,16,0,45,5,2,0,3,1,0.258
330,Pavin Smith,ARI,78,295,336,73,48,14,2,10,41,43,37,2,68,2,2,0,2,1,0.248
331,Tyler Freeman,CLE,37,141,161,35,26,6,0,2,21,17,11,0,22,7,1,1,4,2,0.247
332,Carlos Narvaez,BOS,50,173,198,37,25,8,0,4,20,20,21,1,59,3,2,0,2,1,0.216
333,Jorge Mateo,BAL,31,123,133,28,17,7,2,3,18,14,7,0,33,1,1,1,9,2,0.232
334,Jerar Encarnacion,SFG,84,331,364,82,53,13,1,14,40,51,28,0,122,2,3,0,3,1,0.247
335,Ryan Bliss,SEA,41,157,175,35,23,7,1,4,22,19,14,0,47,2,1,1,10,4,0.221
336,Lenyn Sosa,CHW,71,290,308,72,50,13,1,9,31,35,13,1,67,2,2,2,2,1,0.247
337,Tyler Heineman,TOR,36,121,141,26,20,4,1,1,14,12,14,0,29,3,1,3,3,1,0.214
