#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
292,Garrett Cleavinger,TBR,0,59,74.1,322,3,2,0,2,15,,65,38,36,10,2,5,82,35,9.92,4.2,4.35,1.33
293,Max Kranick,NYM,0,23,28.2,122,1,1,0,0,1,,26,14,13,4,1,1,26,10,8.07,3.11,4.22,1.24
294,Jacob Lopez,ATH,0,19,25,105,1,1,0,0,1,,21,11,10,3,1,1,26,10,9.23,3.44,3.74,1.21
295,Ryne Stanek,NYM,0,56,70.1,301,2,1,0,1,12,,58,36,33,10,2,4,74,32,9.48,4.15,4.24,1.28
296,Cody Poteet,CHC,1,27,37.1,161,1,1,0,0,1,,36,20,19,5,1,2,34,14,8.19,3.45,4.52,1.34
297,Stephen Kolek,SDP,0,28,35.2,155,1,1,0,0,1,,35,18,17,3,1,2,30,14,7.52,3.54,4.31,1.37
298,Ryan Borucki,PIT,0,19,23.2,101,1,0,0,0,1,,21,11,10,2,0,1,22,9,8.31,3.51,3.94,1.28
299,José Quijada,LAA,0,54,67.2,291,3,2,0,1,12,,55,34,31,10,2,4,77,33,10.22,4.39,4.19,1.3
300,Tim Mayza,PIT,0,48,59.2,259,1,1,0,0,4,,65,33,31,6,1,2,43,17,6.42,2.59,4.63,1.38
301,Allan Winans,NYY,1,19,22.1,95,1,1,-1,0,1,,20,11,10,3,1,1,19,7,7.54,2.82,4.06,1.22
302,Justin Topa,MIN,0,42,53,232,2,1,0,1,1,,57,31,29,6,1,3,43,17,7.34,2.83,4.84,1.39
303,Doug Nikhazy,CLE,2,22,32.2,142,1,1,0,0,0,,27,16,15,4,1,2,33,18,9.23,4.87,4.24,1.38
304,Packy Naughton,STL,0,11,13.2,57,0,0,0,0,0,,13,6,6,1,0,0,12,4,8.09,2.54,3.93,1.25
305,Mason Englert,DET,0,23,28,118,1,1,0,0,1,,26,14,13,4,1,1,26,8,8.19,2.6,4.13,1.2
306,Kelvin Caceres,LAA,0,23,29.1,126,1,1,0,0,1,,22,14,13,3,1,2,34,16,10.32,5.01,3.89,1.32
307,Cole Sulser,TBR,1,35,42.2,183,2,1,0,1,1,,39,22,21,6,1,2,41,17,8.64,3.61,4.44,1.31
308,Michael Grove,LAD,0,35,43.1,187,2,1,0,0,4,,42,24,23,7,1,2,45,15,9.29,3.2,4.68,1.32
309,Mike Vasil,TBR,0,33,41,174,1,1,0,0,0,,37,21,19,5,1,2,37,14,8.13,3.18,4.27,1.26
310,Brendon Little,TOR,0,52,65,281,2,2,0,0,10,,59,31,29,6,2,3,55,29,7.62,4.03,3.99,1.36
311,José Cisnero,,0,23,29,125,1,1,0,0,0,,25,15,14,3,1,2,30,14,9.43,4.25,4.23,1.35
