#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
80,Marcell Ozuna,ATL,154,596,665,160,94,28,1,37,92,115,62,3,162,3,4,0,1,0,0.268
81,Ozzie Albies,ATL,152,602,658,157,98,34,3,23,90,92,44,2,104,6,6,0,12,3,0.261
82,JJ Bleday,ATH,152,573,658,130,75,31,3,21,77,75,77,1,141,3,4,1,6,2,0.228
83,Masyn Winn,STL,154,607,665,153,104,31,5,13,77,60,46,1,122,3,6,2,17,3,0.252
84,Jacob Wilson,ATH,128,511,553,141,99,32,2,8,59,51,29,1,71,7,4,2,3,1,0.275
85,Triston Casas,BOS,139,517,602,136,78,30,2,26,81,84,77,3,153,3,5,0,3,1,0.263
86,J.T. Realmuto,PHI,126,456,501,115,72,22,2,19,64,65,34,1,123,8,3,0,9,2,0.253
87,Willson Contreras,STL,139,520,602,131,77,29,1,25,72,78,60,2,148,18,3,0,6,3,0.252
88,J.P. Crawford,SEA,141,526,609,126,87,26,2,11,72,57,71,2,119,7,4,1,5,2,0.24
89,Matt Wallner,MIN,120,450,518,108,56,25,2,25,70,77,51,2,177,14,4,0,4,1,0.24
90,Jake Burger,TEX,143,564,616,142,80,26,2,34,78,95,38,2,162,10,4,0,2,1,0.252
91,Luis García Jr.,WSN,125,503,539,142,95,28,3,16,59,58,30,1,82,1,5,0,15,5,0.281
92,Lawrence Butler,ATH,149,587,644,146,87,31,3,25,73,81,50,2,165,0,6,0,21,4,0.248
93,Josh Lowe,TBR,125,488,539,126,77,28,3,19,68,69,45,2,154,1,4,0,28,4,0.258
94,Salvador Perez,KCR,149,565,612,148,93,27,1,27,67,81,32,2,135,10,4,0,1,0,0.262
95,Nathaniel Lowe,WSN,144,544,623,151,104,26,2,18,72,61,71,2,129,4,4,0,3,1,0.277
96,Sean Murphy,ATL,92,318,365,77,44,16,1,16,50,55,36,1,86,8,2,0,1,0,0.241
97,Jung Hoo Lee,SFG,143,560,616,152,107,29,2,13,70,59,45,2,69,6,5,1,13,4,0.271
98,Nico Hoerner,CHC,130,507,560,136,102,26,2,6,62,43,39,1,63,10,4,0,26,6,0.268
99,Anthony Santander,TOR,156,601,672,145,77,34,1,33,84,104,58,2,142,8,5,0,3,2,0.241
100,Zack Gelof,ATH,146,569,630,129,80,26,2,21,66,69,51,0,197,4,5,2,27,5,0.227
