#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
370,Yerry De Los Santos,NYY,0,38,38,164,2,2,0,0,1,0,35,18,17,5,0,2,31,14,7.41,3.34,4.01,1.3,18.90243902,8.536585366
371,Ryan Loutos,STL,0,44,44,191,2,2,0,0,1,0,43,23,21,5,0,2,38,18,7.73,3.64,4.22,1.39,19.89528796,9.42408377
372,Drew Smith,,0,12,12,52,1,1,0,0,0,0,10,6,5,2,0,1,13,5,9.55,3.89,3.99,1.3,25,9.615384615
373,Domingo Gonzalez,ATL,0,44,44,191,2,2,0,0,1,0,39,22,20,5,0,2,47,21,9.65,4.28,4.07,1.36,24.60732984,10.9947644
374,Grant Wolfram,MIL,0,25,25,109,1,1,0,0,1,0,22,12,11,3,0,1,26,12,9.4,4.2,3.89,1.33,23.85321101,11.00917431
375,Tyler Mattison,DET,0,28,28,121,1,1,0,0,1,0,22,13,12,3,0,1,31,14,10.08,4.58,3.74,1.31,25.61983471,11.57024793
376,Drew Pomeranz,SEA,0,15,15,70,1,1,0,0,1,0,14,6,6,2,0,1,18,6,10.72,3.58,3.5,1.3,25.71428571,8.571428571
377,Chase Shugart,BOS,0,26,26,113,1,1,0,0,1,0,26,13,12,3,0,1,22,11,7.66,3.64,4.25,1.39,19.46902655,9.734513274
378,Josh Winder,ARI,0,32,32,145,1,1,0,0,1,0,34,16,15,4,0,2,29,11,8.2,3.21,4.21,1.42,20,7.586206897
379,Brent Suter,CIN,0,58,58,253,3,3,0,0,10,0,60,33,30,9,0,3,46,18,7.12,2.82,4.69,1.36,18.18181818,7.114624506
380,Ray Kerr,ATL,0,8,8,34,0,0,0,0,1,0,7,4,3,1,0,0,9,3,10.21,3.73,3.76,1.28,26.47058824,8.823529412
381,Zach Penrod,BOS,0,30,30,129,2,1,0,0,1,0,26,15,14,4,0,2,32,15,9.64,4.61,4.2,1.38,24.80620155,11.62790698
382,Randy Rodriguez,SFG,0,57,57,247,3,3,0,0,10,0,49,27,24,6,0,3,58,29,9.1,4.54,3.85,1.36,23.48178138,11.74089069
383,Nick Frasso,LAD,0,17,17,71,1,1,0,0,1,0,15,8,7,2,0,1,15,6,8.16,3,3.94,1.23,21.12676056,8.450704225
384,Luis Frias,CLE,0,24,24,104,1,1,0,0,1,0,22,12,11,3,0,1,23,11,8.75,3.97,3.95,1.34,22.11538462,10.57692308
385,Kyle Nelson,ARI,0,21,21,90,1,1,0,0,1,0,20,10,9,3,0,1,20,7,8.63,3.1,4.06,1.3,22.22222222,7.777777778
386,Taijuan Walker,PHI,3,51,67,289,2,2,3,0,1,0,70,42,38,10,0,3,47,25,6.24,3.29,5.12,1.41,16.26297578,8.650519031
387,Logan Evans,SEA,2,12,17,75,0,0,1,0,1,0,16,9,8,2,0,1,13,7,6.86,3.76,4.41,1.37,17.33333333,9.333333333
388,Matt Bowman,BAL,0,22,22,96,1,1,0,0,1,0,21,11,10,3,0,1,20,9,8.24,3.51,4.04,1.35,20.83333333,9.375
389,Ian Gibaut,CIN,0,21,21,91,1,1,0,0,1,0,20,11,11,3,0,1,20,9,8.39,3.78,4.51,1.38,21.97802198,9.89010989
390,Matt Gage,DET,0,17,17,73,1,1,0,0,1,0,15,8,7,2,0,1,16,7,8.6,3.93,3.86,1.31,21.91780822,9.589041096
391,Tejay Antone,CIN,0,10,10,43,1,0,0,0,1,0,9,5,5,1,0,0,10,4,8.68,3.89,4.25,1.36,23.25581395,9.302325581
392,Carson Seymour,SFG,0,28,28,119,1,1,0,0,1,0,28,14,13,3,0,1,22,10,6.99,3.33,4.21,1.36,18.48739496,8.403361345
393,Chris Devenski,NYM,0,22,22,94,1,1,0,0,1,0,19,10,9,3,0,1,22,8,8.9,3.29,3.87,1.24,23.40425532,8.510638298
394,Ron Marinaccio,SDP,0,28,28,122,1,1,0,0,1,0,25,13,12,3,0,1,29,13,9.25,4.25,3.96,1.35,23.7704918,10.6557377
395,Joey Wentz,PIT,0,66,66,282,3,3,0,0,8,0,60,33,30,9,0,3,62,26,8.49,3.61,4.14,1.31,21.9858156,9.219858156
396,Logan Henderson,MIL,0,10,10,42,1,0,0,0,1,0,8,5,4,2,0,0,11,3,9.59,3.12,3.85,1.19,26.19047619,7.142857143
397,Austin Warren,NYM,0,14,14,61,1,1,0,0,1,0,13,7,6,2,0,1,13,5,8.21,3.37,3.91,1.31,21.31147541,8.196721311
398,Gerson Garabito,TEX,0,26,26,111,1,1,0,0,1,0,25,13,12,4,0,1,23,8,7.89,2.91,4.19,1.27,20.72072072,7.207207207
399,Mason Englert,DET,0,10,10,42,1,0,0,0,1,0,9,5,4,1,0,0,9,3,8.21,2.87,3.95,1.25,21.42857143,7.142857143
400,Blas Castano,SEA,2,28,33,144,1,1,2,0,1,0,32,17,16,4,0,2,24,12,6.45,3.29,4.25,1.33,16.66666667,8.333333333
