#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
169,Angel Zerpa,KCR,0,50,52.2,226,2,2,0,0,11,1,53,25,23,5,1,2,47,17,7.95,2.97,3.88,1.34,20.79646017699115,7.52212389380531
170,Luis Peralta,COL,0,57,56.1,253,1,2,0,2,11,0,54,30,27,6,1,4,63,31,10.03,4.86,4.34,1.5,24.90118577075099,12.25296442687747
171,Andrew Walters,CLE,1,47,46.2,200,3,1,0,0,5,1,40,22,21,6,0,2,51,23,9.82,4.46,4.0,1.36,25.5,11.5
172,Luke Little,CHC,0,33,33.0,143,2,2,0,0,3,0,26,13,12,3,1,3,40,18,11.02,4.87,3.31,1.33,27.972027972027973,12.587412587412588
173,Hunter Bigge,TBR,0,50,50.0,215,2,2,0,0,7,0,44,25,23,6,1,2,55,24,9.97,4.26,4.07,1.36,25.581395348837212,11.162790697674419
174,Cooper Criswell,BOS,3,24,40.0,173,2,2,1,0,1,0,42,21,20,5,0,3,31,11,6.99,2.56,4.4,1.33,17.91907514450867,6.358381502890173
175,Seranthony Dominguez,BAL,0,63,60.0,254,4,4,0,5,13,4,53,28,26,8,1,3,65,23,9.8,3.48,3.89,1.27,25.590551181102363,9.05511811023622
176,Justin Wilson,BOS,0,51,47.0,202,2,4,0,1,8,2,47,25,23,7,1,2,49,16,9.34,3.14,4.41,1.35,24.257425742574256,7.920792079207921
177,Walter Pennington,TEX,0,35,37.2,162,3,2,0,0,3,1,35,17,16,3,1,2,36,15,8.6,3.67,3.85,1.34,22.22222222222222,9.25925925925926
178,Craig Kimbrel,,0,47,50.1,216,4,3,0,3,4,5,42,24,22,6,1,3,61,24,10.84,4.26,3.97,1.3,28.240740740740737,11.11111111111111
179,Eiberson Castellano,MIN,1,34,39.1,168,2,2,0,0,3,0,37,19,18,4,0,2,38,14,8.72,3.16,4.11,1.3,22.61904761904762,8.333333333333332
180,Michael Grove,LAD,0,35,41.2,175,2,2,0,0,5,0,39,20,19,6,1,2,44,13,9.49,2.75,4.0,1.24,25.142857142857146,7.428571428571429
181,Justin Topa,MIN,0,42,42.0,178,3,2,0,1,8,2,40,19,17,4,1,2,37,14,7.85,2.91,3.68,1.29,20.786516853932586,7.865168539325842
182,Ryan Zeferjahn,LAA,0,50,60.2,265,2,3,0,1,8,1,55,32,30,8,2,4,64,29,9.44,4.22,4.41,1.38,24.150943396226417,10.943396226415095
183,Zack Thompson,STL,1,35,44.2,196,2,3,0,0,4,0,42,23,21,5,1,2,46,21,9.22,4.3,4.2,1.41,23.46938775510204,10.714285714285714
184,Carson Whisenhunt,SFG,2,13,21.1,91,1,1,1,0,1,0,19,10,9,2,0,1,22,9,9.2,3.61,3.95,1.32,24.175824175824175,9.89010989010989
185,Julian Merryweather,CHC,0,48,50.0,215,3,2,0,0,9,2,45,24,22,6,1,3,55,21,9.82,3.84,3.99,1.33,25.581395348837212,9.767441860465116
186,Tyler Stuart,WSN,0,37,41.2,176,2,2,0,0,2,0,40,20,18,5,0,2,37,12,8.01,2.64,3.93,1.26,21.022727272727273,6.8181818181818175
187,Forrest Whitley,HOU,0,41,42.2,186,3,2,0,0,4,0,38,20,19,5,1,3,46,20,9.65,4.12,3.94,1.36,24.731182795698924,10.75268817204301
188,Jordan Romano,PHI,0,54,54.2,230,4,4,0,24,5,6,49,26,24,7,2,3,58,20,9.49,3.25,3.87,1.25,25.217391304347824,8.695652173913043
189,Brandon Eisert,CHW,0,29,33.0,139,2,1,0,0,2,0,31,16,14,4,0,1,31,12,8.59,3.22,3.96,1.29,22.302158273381295,8.633093525179856
190,Ryan Brasier,CHC,1,33,33.1,138,2,1,0,0,5,1,30,16,14,4,0,1,32,9,8.68,2.54,3.88,1.18,23.18840579710145,6.521739130434782
191,Scott Barlow,,0,54,54.2,234,3,3,0,1,8,2,48,26,24,6,1,3,58,23,9.57,3.82,3.91,1.31,24.786324786324787,9.82905982905983
192,Josh Sborz,TEX,0,25,27.0,113,2,2,0,1,6,1,24,14,12,3,0,1,30,10,10.05,3.45,4.16,1.27,26.548672566371685,8.849557522123893
193,Tyson Miller,CHC,0,54,58.0,242,4,2,0,1,13,2,53,28,25,7,1,3,52,18,8.13,2.78,3.94,1.22,21.487603305785125,7.43801652892562
194,Yosver Zulueta,CIN,0,45,51.1,228,2,2,0,0,5,1,49,27,25,5,1,3,51,26,9.02,4.6,4.31,1.48,22.36842105263158,11.403508771929824
195,Eli Morgan,CHC,0,46,50.0,209,3,2,0,0,5,2,46,24,22,7,1,2,47,15,8.46,2.68,4.01,1.23,22.48803827751196,7.177033492822966
196,Andrew Kittredge,BAL,0,63,62.0,258,4,4,0,3,20,5,59,28,26,8,1,2,57,17,8.25,2.43,3.73,1.22,22.093023255813954,6.5891472868217065
197,Trevor McDonald,SFG,0,27,34.2,148,1,2,0,0,1,0,34,16,15,3,1,2,28,11,7.18,2.87,3.91,1.3,18.91891891891892,7.4324324324324325
198,Mason Montgomery,TBR,0,51,55.0,235,2,3,0,1,12,4,51,26,24,7,1,2,60,22,9.79,3.65,3.99,1.33,25.53191489361702,9.361702127659575
199,Brent Suter,CIN,1,53,61.2,264,2,2,0,0,7,1,64,31,28,9,1,3,49,18,7.11,2.63,4.11,1.32,18.560606060606062,6.8181818181818175
200,Eduard Bazardo,SEA,0,36,40.0,165,2,1,0,1,2,0,35,19,17,5,0,2,40,13,9.13,3.01,3.87,1.2,24.242424242424242,7.878787878787878
201,Phil Maton,,0,55,55.0,235,2,2,0,0,8,1,50,27,25,7,1,5,53,21,8.6,3.38,4.11,1.28,22.5531914893617,8.936170212765958
202,Trent Thornton,SEA,0,61,63.1,264,3,3,0,2,11,2,57,29,27,8,1,3,62,19,8.87,2.73,3.78,1.21,23.484848484848484,7.196969696969697
203,Joe Jimenez,ATL,0,18,18.0,74,1,1,0,0,3,0,15,8,7,2,0,1,21,6,10.51,2.85,3.59,1.15,28.37837837837838,8.108108108108109
204,Elvis Peguero,MIL,0,55,56.2,245,4,4,0,0,12,4,54,26,24,5,1,3,52,24,8.26,3.75,3.87,1.36,21.224489795918366,9.795918367346939
205,Cionel Perez,BAL,0,55,52.0,227,3,2,0,1,13,1,49,24,22,4,1,3,46,24,7.99,4.25,3.84,1.41,20.26431718061674,10.572687224669604
206,Joey Wentz,PIT,1,53,66.0,288,2,4,0,0,5,0,66,36,33,9,1,2,65,28,8.88,3.78,4.53,1.41,22.569444444444446,9.722222222222223
207,Riley O'Brien,STL,0,42,44.0,193,2,2,0,0,4,2,41,22,21,5,1,3,45,22,9.18,4.41,4.22,1.41,23.316062176165804,11.398963730569948
208,Troy Taylor,SEA,0,49,49.1,209,2,2,0,1,11,1,45,23,21,6,0,2,49,19,8.94,3.51,3.88,1.29,23.444976076555022,9.090909090909092
209,Alex Lange,DET,0,39,39.1,172,3,3,0,3,4,2,33,18,17,3,1,3,44,22,9.98,4.9,3.82,1.37,25.581395348837212,12.790697674418606
210,Jacob Webb,TEX,0,61,60.2,261,2,4,0,4,16,1,53,30,28,8,2,3,61,28,9.02,4.08,4.13,1.33,23.371647509578544,10.727969348659004
211,Brandon Young,BAL,2,20,28.1,119,2,2,0,0,1,0,27,14,13,4,0,1,27,9,8.5,2.88,4.07,1.27,22.689075630252102,7.563025210084033
212,Tyler Ferguson,ATH,0,60,63.2,275,3,3,0,2,16,2,55,31,29,7,2,4,69,31,9.78,4.44,4.08,1.35,25.09090909090909,11.272727272727273
213,Joe Rock,TBR,2,15,23.0,98,1,1,1,0,1,0,23,11,10,3,0,1,20,7,7.6,2.63,4.02,1.27,20.408163265306122,7.142857142857142
214,Quinn Priester,BOS,2,25,36.1,156,2,3,1,0,1,0,37,19,18,4,0,2,30,12,7.56,3.05,4.38,1.36,19.230769230769234,7.6923076923076925
215,Erik Sabrowski,CLE,0,46,51.1,222,3,2,0,0,7,2,44,23,21,6,0,2,60,28,10.48,4.84,3.68,1.4,27.027027027027028,12.612612612612612
216,Caleb Kilian,CHC,2,18,27.0,117,1,1,0,0,1,0,27,14,13,3,0,2,21,10,6.99,3.21,4.41,1.36,17.94871794871795,8.547008547008547
217,Victor Vodnik,COL,0,60,65.2,293,4,4,0,5,9,4,67,36,33,7,1,3,62,33,8.53,4.45,4.49,1.51,21.160409556313994,11.262798634812286
218,Tommy Nance,TOR,0,39,41.0,177,2,3,0,0,3,2,41,21,19,5,2,2,38,15,8.22,3.17,4.21,1.34,21.468926553672315,8.47457627118644
219,Dauri Moreta,PIT,0,29,29.0,122,2,1,0,0,2,1,25,14,13,4,1,1,32,11,9.82,3.48,4.13,1.25,26.229508196721312,9.01639344262295
220,Dylan Floro,,0,54,55.1,237,3,3,0,0,5,1,57,27,25,6,1,2,43,17,6.93,2.72,4.1,1.33,18.143459915611814,7.172995780590717
221,Drew Smyly,,1,42,50.1,214,3,4,0,0,3,1,48,26,24,8,1,2,49,17,8.74,3.09,4.24,1.3,22.897196261682243,7.943925233644859
222,Daniel Lynch IV,KCR,3,39,59.0,251,3,3,1,0,4,0,59,31,28,8,0,3,48,18,7.34,2.72,4.29,1.3,19.12350597609562,7.171314741035857
223,Hunter Stratton,PIT,0,24,24.2,105,1,1,0,0,4,2,23,12,11,3,0,1,23,9,8.46,3.33,4.09,1.31,21.904761904761905,8.571428571428571
224,JT Brubaker,NYY,3,30,44.2,192,2,3,1,0,2,0,44,24,22,7,0,2,43,15,8.6,3.09,4.4,1.32,22.395833333333336,7.8125
225,Daniel Palencia,CHC,0,25,28.0,121,2,2,0,0,1,0,23,14,13,3,0,2,32,15,10.21,4.67,4.16,1.36,26.446280991735538,12.396694214876034
226,Carson Seymour,SFG,0,19,21.2,93,2,1,0,0,1,0,22,10,9,2,0,1,19,7,7.83,2.83,3.87,1.3,20.43010752688172,7.526881720430108
227,Pedro Avila,,1,24,36.0,155,2,1,0,0,1,0,32,18,16,3,1,2,35,16,8.8,4.11,4.08,1.34,22.58064516129032,10.32258064516129
228,Bryan Hoeing,SDP,1,51,65.0,275,3,3,0,0,7,0,63,32,30,8,1,2,52,20,7.22,2.72,4.09,1.28,18.90909090909091,7.2727272727272725
229,James McArthur,KCR,0,39,41.1,177,3,3,0,2,6,3,42,21,20,5,1,2,37,13,8.08,2.78,4.28,1.34,20.903954802259886,7.344632768361582
230,Huascar Brazoban,NYM,0,39,42.0,182,2,2,0,0,5,3,37,20,19,4,1,2,43,20,9.16,4.34,4.01,1.36,23.626373626373624,10.989010989010989
231,Trevor Stephan,CLE,0,27,27.1,116,2,2,0,1,6,2,25,13,12,3,1,2,29,10,9.58,3.31,4.01,1.29,25.0,8.620689655172415
232,Carson Ragsdale,SFG,0,23,24.2,104,1,1,0,0,1,0,22,12,11,3,1,1,26,9,9.4,3.3,3.95,1.27,25.0,8.653846153846153
233,Jhonathan Diaz,,2,24,34.0,148,2,2,1,0,1,0,33,16,15,3,0,2,29,13,7.55,3.44,3.99,1.35,19.594594594594593,8.783783783783784
234,Shane Smith,CHW,1,39,44.1,189,2,3,0,0,4,0,42,22,21,6,0,2,42,16,8.63,3.34,4.18,1.32,22.22222222222222,8.465608465608465
235,Hector Neris,,0,56,56.1,239,5,4,0,3,11,3,49,27,24,7,1,3,60,24,9.53,3.8,3.91,1.29,25.10460251046025,10.0418410041841
236,Peter Strzelecki,PIT,0,30,31.1,136,1,2,0,0,3,1,31,16,15,4,1,2,29,11,8.24,3.3,4.3,1.35,21.323529411764707,8.088235294117647
237,Franco Aleman,CLE,0,31,33.2,143,2,2,0,0,3,0,32,16,15,4,0,2,34,12,9.0,3.26,4.01,1.3,23.776223776223777,8.391608391608392
238,Evan Reifert,WSN,0,47,49.0,212,2,3,0,1,8,0,44,25,23,6,1,3,51,23,9.47,4.22,4.21,1.36,24.056603773584907,10.849056603773585
239,Chase Lee,DET,0,20,20.1,85,1,1,0,0,1,0,19,9,8,2,0,1,19,7,8.53,3.07,3.7,1.26,22.35294117647059,8.235294117647058
240,Cody Poteet,CHC,1,27,37.1,156,2,1,0,0,1,0,34,17,15,4,0,2,33,13,8.04,3.07,3.75,1.25,21.153846153846153,8.333333333333332
241,Evan Sisk,KCR,0,20,20.1,89,1,1,0,0,1,1,19,10,9,2,0,1,20,9,8.61,4.12,3.95,1.39,22.47191011235955,10.112359550561797
242,Luke Jackson,,0,37,37.2,163,2,2,0,0,3,2,34,19,17,4,1,2,40,17,9.48,4.02,4.08,1.36,24.539877300613497,10.429447852760736
243,Austin Adams,BOS,0,30,27.0,120,1,1,0,0,6,2,24,14,13,3,1,4,31,13,10.34,4.45,4.42,1.38,25.833333333333336,10.833333333333334
244,Bryan Baker,BAL,0,36,38.0,162,2,2,0,0,4,1,34,19,17,5,1,1,39,16,9.36,3.88,4.06,1.32,24.074074074074073,9.876543209876543
245,Greg Weissert,BOS,0,55,55.2,240,3,2,0,0,8,2,54,27,25,7,2,3,54,21,8.67,3.45,4.03,1.35,22.5,8.75
246,Davis Daniel,ATL,1,16,22.1,96,1,2,0,0,1,0,23,12,11,3,0,1,20,6,8.11,2.58,4.45,1.33,20.833333333333336,6.25
247,Shawn Dubin,HOU,1,43,50.0,219,2,2,0,0,4,0,47,25,23,5,0,3,51,24,9.2,4.36,4.12,1.42,23.28767123287671,10.95890410958904
248,Rob Zastryzny,CHC,1,19,18.1,78,1,1,0,0,1,0,17,9,8,2,0,1,17,7,8.28,3.39,4.06,1.31,21.794871794871796,8.974358974358974
249,Drey Jameson,ARI,1,35,42.0,182,3,2,1,0,2,0,41,20,18,5,0,2,39,16,8.31,3.42,3.91,1.36,21.428571428571427,8.791208791208792
250,Eduardo Salazar,WSN,0,45,54.2,246,2,3,0,1,8,0,61,29,26,5,1,4,42,22,7.0,3.63,4.36,1.51,17.073170731707318,8.94308943089431
251,Anderson Pilar,ATL,0,37,38.0,164,2,2,0,0,6,0,38,19,18,4,1,2,34,12,8.0,2.94,4.16,1.33,20.73170731707317,7.317073170731707
252,Tommy Kahnle,DET,0,49,49.0,207,1,2,0,2,13,1,42,21,19,5,1,2,50,21,9.25,3.86,3.51,1.28,24.154589371980677,10.144927536231885
253,Nic Enright,CLE,0,31,31.0,129,2,2,0,0,4,0,28,15,14,4,1,1,32,10,9.34,2.84,3.93,1.22,24.8062015503876,7.751937984496124
254,Domingo Gonzalez,ATL,0,36,37.2,161,2,2,0,0,3,0,35,19,17,4,1,2,39,15,9.38,3.65,4.18,1.33,24.22360248447205,9.316770186335404
255,Chris Roycroft,STL,0,30,35.0,153,2,2,0,0,2,2,34,18,16,3,1,2,31,16,8.09,4.11,4.23,1.43,20.26143790849673,10.457516339869281
256,Chad Green,TOR,0,58,59.0,246,4,4,0,8,14,4,54,29,26,9,2,2,56,18,8.55,2.7,4.0,1.22,22.76422764227642,7.317073170731707
257,Tayler Saucedo,SEA,0,57,54.1,233,3,2,0,1,10,1,49,25,23,5,2,3,51,23,8.4,3.87,3.8,1.33,21.888412017167383,9.871244635193133
258,Michael Kopech,LAD,0,51,55.0,233,4,3,0,5,12,3,44,26,24,8,1,3,68,26,11.14,4.26,3.92,1.27,29.184549356223176,11.158798283261802
259,Stephen Kolek,SDP,0,28,30.2,134,2,1,0,0,1,1,32,16,15,3,0,2,26,10,7.55,3.02,4.4,1.39,19.402985074626866,7.462686567164178
260,Michael Tonkin,MIN,0,54,62.2,267,3,3,0,0,8,1,58,32,29,8,1,4,63,24,9.04,3.39,4.2,1.3,23.595505617977526,8.98876404494382
261,Sean Reid-Foley,NYM,0,44,44.1,192,2,2,0,0,6,1,38,21,19,5,0,2,48,23,9.78,4.67,3.94,1.38,25.0,11.979166666666668
262,Adam Macko,TOR,2,17,25.2,111,1,1,1,0,1,0,24,13,12,3,0,1,24,10,8.38,3.6,4.28,1.34,21.62162162162162,9.00900900900901
