#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
175,Bubba Chandler,PIT,16,16,92.1,403,5,6,7,0,0,,92,50,46,12,0,4,80,38,7.82,3.75,4.51,1.41
176,Cade Povich,BAL,15,32,97,416,6,6,6,0,1,,93,49,45,14,1,4,89,36,8.28,3.34,4.2,1.33
177,Jakob Junis,,15,15,79.1,338,5,5,6,0,0,,82,42,39,12,0,3,66,21,7.51,2.42,4.41,1.3
178,Tomoyuki Sugano,BAL,23,33,139.1,594,8,9,9,0,1,,151,77,71,23,1,6,104,30,6.74,1.94,4.62,1.3
179,Aaron Ashby,MIL,13,49,107.2,471,6,6,6,0,1,,102,53,48,11,1,5,101,54,8.46,4.54,4.02,1.45
180,Ben Lively,CLE,26,26,148,647,8,10,10,0,0,,159,84,79,24,0,6,117,47,7.1,2.84,4.79,1.39
181,Hayden Birdsong,SFG,18,40,117.1,507,7,7,7,0,1,,105,57,52,14,1,6,125,51,9.58,3.94,4.01,1.33
182,Cal Quantrill,,24,24,132.2,585,7,9,9,0,0,,141,76,71,19,0,7,100,48,6.78,3.27,4.78,1.42
183,Colin Rea,CHC,19,36,125,537,7,8,8,0,1,,130,68,63,19,1,6,102,35,7.35,2.54,4.57,1.32
184,Trevor Williams,WSN,18,49,126.2,544,7,8,6,0,1,,131,68,63,20,1,5,101,38,7.2,2.69,4.51,1.34
185,Jack Leiter,TEX,18,42,121.1,527,7,8,7,0,1,,113,64,60,18,1,6,121,52,8.98,3.82,4.43,1.36
186,Anthony DeSclafani,,15,15,81.1,347,5,5,6,0,0,,86,44,41,12,0,3,64,21,7.04,2.32,4.49,1.31
187,Alex Wood,,19,19,102.1,448,6,7,7,0,0,,107,56,52,14,1,7,81,37,7.15,3.23,4.54,1.4
188,Drew Thorpe,CHW,16,16,90,393,4,7,6,0,0,,94,52,48,15,0,3,70,33,7,3.3,4.83,1.41
189,Luis L. Ortiz,CLE,23,40,144,628,8,10,9,0,1,,149,79,74,20,1,7,121,54,7.58,3.35,4.61,1.41
190,AJ Smith-Shawver,ATL,8,43,80.1,344,5,4,3,0,1,,73,40,38,11,1,3,86,32,9.6,3.56,4.21,1.3
191,Andrew Painter,PHI,11,19,72.2,309,4,4,5,0,1,,70,38,35,11,0,3,66,24,8.2,2.99,4.39,1.3
192,Ryne Nelson,ARI,10,58,102,430,6,6,4,0,1,,104,51,47,14,2,4,85,26,7.55,2.26,4.17,1.27
193,Jack Kochanowicz,LAA,15,29,98,426,5,6,6,0,1,,112,55,50,13,1,7,57,27,5.23,2.46,4.61,1.42
194,Chase Dollander,COL,16,16,92.1,407,4,7,6,0,0,,97,56,52,15,0,5,81,37,7.92,3.59,5.11,1.45
195,Adam Mazur,MIA,13,34,91.2,395,5,6,5,0,1,,96,50,47,14,1,3,72,27,7.07,2.62,4.58,1.34
196,Noah Schultz,CHW,8,8,46.1,198,3,3,4,0,0,,45,23,21,6,0,3,41,16,7.98,3.16,4.12,1.33
197,Ross Stripling,,18,18,96.2,419,5,7,6,0,0,,108,55,52,16,0,3,65,24,6.03,2.26,4.79,1.37
198,Griffin Canning,NYM,10,52,95.2,408,6,5,4,0,1,,93,47,44,14,1,4,88,30,8.28,2.8,4.11,1.28
199,Braxton Ashcraft,PIT,6,34,65,276,3,4,3,0,1,,67,33,31,9,1,2,54,18,7.46,2.43,4.23,1.3
200,J.T. Ginn,ATH,13,37,96.2,418,5,6,6,0,1,,100,50,46,12,1,6,71,33,6.64,3.09,4.28,1.38
201,Osvaldo Bido,ATH,8,49,85,363,5,5,3,0,1,,78,43,40,12,1,6,80,32,8.48,3.37,4.21,1.29
202,Chris Flexen,,16,16,86.1,380,5,6,5,0,0,,93,51,47,14,0,3,63,31,6.57,3.19,4.94,1.44
203,Bryce Elder,ATL,6,21,51,221,3,3,3,0,1,,53,26,24,6,1,2,43,16,7.53,2.86,4.17,1.36
