#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
53,Michael Wacha,KCR,28,28,162.2,681,11,9,11,0,0,0,155,80,73,22,1,6,142,47,7.87,2.6,4.06,1.24,20.85168869,6.901615272
54,Brady Singer,CIN,29,29,171,729,9,10,12,0,0,0,172,90,82,25,1,9,160,50,8.4,2.6,4.34,1.29,21.9478738,6.858710562
55,Jack Flaherty,DET,26,27,144.2,606,10,8,11,0,0,0,132,68,63,19,1,7,158,46,9.83,2.86,3.9,1.23,26.07260726,7.590759076
56,Taj Bradley,TBR,29,29,162.1,673,10,10,12,0,0,0,144,76,70,24,2,5,176,52,9.75,2.9,3.89,1.21,26.15156018,7.726597325
57,Nick Lodolo,CIN,23,23,129.2,547,8,8,9,0,0,0,118,62,57,17,1,12,141,40,9.77,2.79,3.95,1.22,25.77696527,7.31261426
58,Brayan Bello,BOS,29,29,165,706,12,10,11,0,0,0,161,81,75,18,1,8,152,58,8.28,3.14,4.08,1.32,21.52974504,8.21529745
59,Reese Olson,DET,27,27,145.2,610,8,9,11,0,0,0,134,69,63,16,2,5,136,46,8.41,2.86,3.9,1.24,22.29508197,7.540983607
60,Chris Bassitt,TOR,30,30,176.2,751,11,11,13,0,0,0,167,87,80,22,1,11,164,59,8.34,3.02,4.09,1.28,21.83754993,7.856191744
61,Sean Manaea,NYM,29,30,169.1,707,10,8,12,0,0,0,149,84,77,23,1,8,171,58,9.11,3.06,4.09,1.22,24.18670438,8.203677511
62,Ryan Pepiot,TBR,28,28,152,630,10,9,11,0,0,0,127,71,65,22,1,8,160,53,9.49,3.11,3.87,1.18,25.3968254,8.412698413
63,Brandon Pfaadt,ARI,27,33,157.1,653,10,9,10,0,0,0,152,77,71,23,1,6,158,38,9.07,2.15,4.05,1.21,24.19601838,5.819295559
64,Bryan Woo,SEA,25,25,138,557,9,7,10,0,0,0,121,62,57,18,1,6,131,28,8.56,1.81,3.69,1.08,23.51885099,5.026929982
65,Carlos Rodon,NYY,29,29,163.2,677,12,10,12,0,0,0,140,80,74,26,1,7,184,53,10.13,2.93,4.06,1.18,27.17872969,7.828655835
66,Drew Rasmussen,TBR,17,33,109.2,446,7,6,7,0,2,0,97,45,41,11,0,3,108,27,8.83,2.18,3.36,1.13,24.21524664,6.053811659
67,Nestor Cortes,MIL,24,32,142.2,586,9,8,10,0,0,0,129,67,62,22,1,4,140,37,8.86,2.35,3.91,1.17,23.89078498,6.313993174
68,Bryce Miller,SEA,30,30,171,695,11,9,12,0,0,0,148,78,72,24,1,6,163,43,8.58,2.27,3.77,1.12,23.45323741,6.18705036
69,Shohei Ohtani,LAD,19,19,111.1,456,9,5,9,0,0,0,90,47,43,14,1,5,131,37,10.58,3.02,3.49,1.14,28.72807018,8.114035088
70,Brandon Woodruff,MIL,21,21,124.2,512,8,6,10,0,0,0,109,56,52,17,1,5,133,35,9.58,2.53,3.75,1.16,25.9765625,6.8359375
71,Nick Martinez,CIN,22,37,140,589,8,8,8,0,1,1,140,72,66,20,1,6,118,36,7.61,2.32,4.23,1.26,20.03395586,6.112054329
72,Jose Soriano,LAA,25,27,139.2,598,8,8,10,0,1,0,124,66,60,14,2,9,133,58,8.56,3.77,3.89,1.31,22.24080268,9.698996656
73,Nick Pivetta,,24,25,136.1,560,8,9,10,0,0,0,118,66,61,21,1,4,154,41,10.2,2.72,4.01,1.17,27.5,7.321428571
74,Robbie Ray,SFG,26,26,144,603,9,9,11,0,0,0,126,69,64,22,1,8,161,50,10.06,3.15,3.99,1.22,26.69983416,8.291873964
75,Clay Holmes,NYM,18,45,129.2,555,8,7,8,3,1,6,122,57,53,10,2,7,123,50,8.58,3.45,3.65,1.32,22.16216216,9.009009009
76,Jesus Luzardo,PHI,24,31,143.1,599,9,8,11,0,0,0,128,70,64,20,1,5,147,48,9.22,3,4.04,1.23,24.5409015,8.013355593
77,Gavin Williams,CLE,26,26,138.1,582,8,8,9,0,0,0,121,67,62,17,1,6,141,53,9.21,3.45,4.02,1.26,24.22680412,9.10652921
78,Kumar Rocker,TEX,21,27,114.1,475,6,7,8,0,0,0,103,53,49,14,1,5,119,35,9.36,2.75,3.85,1.21,25.05263158,7.368421053
79,Miles Mikolas,STL,29,29,167.2,703,9,11,12,0,0,0,178,92,85,24,1,6,119,31,6.38,1.65,4.56,1.25,16.92745377,4.409672831
80,Clarke Schmidt,NYY,21,33,126.2,534,8,7,6,0,1,0,116,59,55,17,2,8,127,41,9,2.91,3.89,1.24,23.78277154,7.677902622
