#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
229,Jake Bloss,TOR,7,17,46,197,2,3,1,0,1,,43,26,24,7,1,2,41,17,7.95,3.34,4.72,1.31
230,Ian Seymour,TBR,4,11,28.2,121,1,2,0,0,0,,25,14,13,4,0,1,27,10,8.58,3.09,4.12,1.22
231,Cole Irvin,,8,11,51,223,3,4,3,0,0,,57,32,29,8,0,2,35,14,6.17,2.53,5.21,1.4
232,Blas Castano,SEA,2,18,31.2,133,1,1,0,0,0,,29,15,14,4,1,2,28,10,8.04,2.95,3.96,1.23
233,John Means,,5,6,24.1,102,2,2,1,0,0,,22,12,11,4,0,1,20,7,7.53,2.53,4.25,1.21
234,Tink Hence,STL,4,4,21.1,91,1,1,2,0,0,,21,11,10,3,0,1,19,7,8.05,2.8,4.36,1.29
235,Caden Dana,LAA,13,13,70,302,4,5,5,0,0,,69,42,39,13,0,3,58,24,7.51,3.14,5,1.33
236,Tyler Wells,BAL,4,10,29.1,122,2,2,1,0,0,,26,15,14,5,0,1,26,8,7.9,2.54,4.22,1.16
237,Emerson Hancock,SEA,8,17,53.1,228,3,4,2,0,1,,51,29,27,8,1,3,38,18,6.4,2.96,4.61,1.3
238,Alex Wood,,12,13,64.1,285,4,6,4,0,0,,69,40,37,10,0,5,49,26,6.89,3.57,5.19,1.46
239,Mike Clevinger,,6,6,30,128,2,2,2,0,0,,28,17,16,5,0,1,26,10,7.79,3.04,4.71,1.28
240,Gunnar Hoglund,ATH,6,26,55.1,234,2,3,0,0,0,,51,30,28,9,1,3,47,17,7.67,2.79,4.56,1.24
241,Domingo Germán,,5,7,32,138,2,2,2,0,0,,31,19,17,5,0,1,26,11,7.24,3.19,4.86,1.33
242,Logan Allen,CLE,6,7,32.2,142,2,2,2,0,0,,33,19,17,5,0,1,27,12,7.43,3.33,4.81,1.38
243,Patrick Sandoval,BOS,2,8,17.1,75,1,1,0,0,1,,16,8,7,1,0,1,17,8,8.74,4,3.82,1.36
244,Cristian Mena,ARI,2,12,19.2,84,1,0,0,0,1,,18,10,9,2,1,1,21,8,9.57,3.48,4.25,1.32
245,Carlos Rodriguez,MIL,2,9,15.1,64,1,1,-1,0,1,,12,7,6,2,0,1,16,6,9.19,3.42,3.62,1.16
246,Joe Ross,PHI,4,36,64.2,283,1,1,0,0,6,,66,37,35,9,2,4,54,24,7.48,3.3,4.81,1.39
247,Alek Manoah,TOR,3,9,21.1,92,1,1,0,0,1,,18,11,10,3,0,2,21,9,8.62,3.69,4.26,1.27
248,Albert Suárez,BAL,9,42,82,366,3,5,-2,0,5,,85,52,48,13,2,5,70,35,7.63,3.87,5.3,1.46
249,Chase Petty,CIN,2,9,16.2,72,1,1,-1,0,0,,16,9,8,2,0,1,15,6,7.91,3.16,4.33,1.31
