#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
100,Ozzie Albies,ATL,136,603.5602094,660,155.4973822,94.45026178,35.70680628,3.455497382,23.03664921,80.62827225,81.78010471,43.76963351,1.151832461,118.6387435,5.759162304,4.607329843,2.303664921,18.42931937,5.759162304,12.67015707,0.258,0.3117338,0.444656489,0.756390289,0.283950617,17.97556719,6.631762653,596,660,167,99,30,5,33,96,109,46,2,107,8,8,0,13,1,12,0.28,0.336,0.513,0.849,0.289,16.2,7.0,0.7130434782293591,0.26956521735913735,0.02608695651911325,0.0349040139545454,0.7388059701492538,0.22388059701492538,0.03731343283582089,0.05,132.46073299,134
101,Ryan McMahon,COL,136,553.6858639,627,137.8743455,85.35078534,27.35602094,2.188481675,21.88481675,75.5026178,76.59685864,61.27748691,1.094240838,158.6649215,5.471204188,4.376963351,2.188481675,7.659685864,3.282722513,4.376963351,0.249,0.327495622,0.422924901,0.750420523,0.307246377,25.30541012,9.773123909,555,627,133,76,31,3,23,80,70,68,2,198,1,3,0,5,5,0,0.24,0.322,0.431,0.753,0.326,31.6,10.8,0.7358490568916981,0.23584905667616138,0.018867924532368616,0.0349040139553429,0.6909090909090909,0.2818181818181818,0.02727272727272727,0.036682615629984,115.98952875,110
102,Jeimer Candelario,WSN,134,514.6806283,576,123.6439791,75.39267016,29.15183246,2.010471204,17.08900524,61.31937173,66.34554974,50.2617801,1.005235602,130.6806283,6.031413613,4.020942408,1.005235602,1.005235602,1.005235602,0.0,0.24,0.312937063,0.404296875,0.717233938,0.287262873,22.68760908,8.72600349,505,576,127,63,39,3,22,77,70,53,1,127,13,4,0,8,1,7,0.251,0.336,0.471,0.807,0.292,22.0,9.2,0.707547169586439,0.2735849055559048,0.01886792451980242,0.0296684118749999,0.6,0.37142857142857144,0.02857142857142857,0.0381944444444444,106.55497385999999,105
103,Vinnie Pasquantino,KCR,133,227.2727273,260,61.81818182,37.72727273,13.18181818,0.909090909,10.0,32.72727273,35.90909091,28.18181818,1.363636364,35.90909091,2.727272727,1.818181818,0.454545455,1.363636364,0.454545455,0.909090909,0.272,0.356643357,0.47,0.826643357,0.282878412,13.81118881,10.83916084,231,260,57,31,17,0,9,24,26,25,2,31,2,1,0,0,0,0,0.247,0.324,0.437,0.762,0.25,11.9,9.6,0.7280701754656818,0.25438596486826714,0.017543859646752848,0.0384615384615384,0.6458333333333334,0.3541666666666667,0.0,0.0346153846153846,51.81818182,48
104,Charlie Blackmon,COL,128,374.0104895,413,98.91783217,67.1486014,17.32867133,2.888111888,11.55244755,50.54195804,46.20979021,28.15909091,2.166083916,75.09090909,5.776223776,2.888111888,2.166083916,2.888111888,1.444055944,1.444055944,0.264,0.323374341,0.418918919,0.74229326,0.300995025,18.18181818,6.818181818,359,413,100,63,24,5,8,57,40,39,0,55,11,4,0,4,1,3,0.279,0.363,0.44,0.803,0.307,13.3,9.4,0.7685950412977189,0.19834710744274633,0.03305785123664233,0.0279720279661016,0.6847826086956522,0.2608695652173913,0.05434782608695652,0.0193704600484261,87.36538462,92
105,Sean Murphy,ATL,133,385.0718039,438,93.58318739,54.46234676,22.24518389,1.534150613,15.34150613,53.69527145,56.76357268,41.42206655,0.767075306,95.117338,7.670753065,3.068301226,0.767075306,0.767075306,0.767075306,0.0,0.244,0.326315789,0.428286853,0.754602642,0.281767956,21.71628722,9.45709282,370,438,93,51,21,0,21,65,68,49,0,98,18,1,0,0,0,0,0.251,0.365,0.478,0.844,0.286,22.4,11.2,0.6960784313800672,0.2843137255202688,0.019607843138006717,0.0350262697031963,0.7083333333333334,0.2916666666666667,0.0,0.047945205479452,78.24168126000001,72
106,J.P. Crawford,SEA,141,557.2688928,638,142.400703,102.0351494,29.15289982,2.242530756,8.970123023,69.51845343,56.06326889,63.91212654,0.0,94.18629174,7.848857645,4.485061511,4.485061511,6.727592267,2.242530756,4.485061511,0.255,0.338053097,0.364185111,0.702238208,0.290953545,14.76274165,10.01757469,534,638,142,88,35,0,19,94,65,94,1,125,5,2,3,2,0,2,0.266,0.38,0.438,0.818,0.314,19.6,14.7,0.7647058823965859,0.21848739490621424,0.016806722689705424,0.0140597539545454,0.7154471544715447,0.2845528455284553,0.0,0.0297805642633228,133.43057997699998,123
107,Tony Kemp,OAK,126,367.3626761,419,91.47183099,64.91549296,19.17957746,1.475352113,6.639084507,47.21126761,32.45774648,39.09683099,0.0,54.58802817,5.901408451,2.950704225,3.688380282,8.852112676,2.950704225,5.901408451,0.249,0.328596803,0.365461847,0.69405865,0.274463007,13.02816901,9.330985915,359,419,75,54,13,3,5,42,27,44,0,40,6,3,7,15,4,11,0.209,0.303,0.304,0.607,0.221,9.5,10.5,0.7652173912936875,0.22608695645429186,0.01739130435079869,0.0158450704224343,0.7714285714285715,0.18571428571428572,0.04285714285714286,0.0119331742243436,84.832746483,70
109,Jeremy Pena,HOU,139,586.9540636,634,143.3780919,92.97173145,24.64310954,2.240282686,23.5229682,71.68904594,78.40989399,31.3639576,0.0,146.7385159,7.840989399,4.480565371,3.360424028,12.32155477,4.480565371,7.840989399,0.245,0.289520426,0.414122137,0.703642564,0.284574468,23.14487633,4.946996466,577,634,152,107,32,3,10,81,52,43,1,129,9,1,1,13,9,4,0.263,0.324,0.381,0.705,0.323,20.3,6.8,0.7757009344273866,0.2056074765871691,0.018691588785202683,0.0371024735015772,0.7535211267605634,0.22535211267605634,0.02112676056338028,0.0157728706624605,119.85512369999998,142
110,Triston Casas,BOS,123,426.4778761,502,103.0654867,59.52920354,23.10088496,1.77699115,16.88141593,69.30265487,51.53274336,63.97168142,2.665486726,113.7274336,4.442477876,3.553982301,4.442477876,4.442477876,1.77699115,2.665486726,0.241,0.34402852,0.41875,0.76277852,0.287833828,22.65486726,12.74336283,429,502,113,66,21,2,24,66,65,70,2,126,1,2,0,0,0,0,0.263,0.367,0.49,0.856,0.317,25.1,13.9,0.6907216496986547,0.2680412372449833,0.020618556702227123,0.0336283185856573,0.7415730337078652,0.23595505617977527,0.02247191011235955,0.047808764940239,86.18407076999999,89
111,Brandon Lowe,TBR,130,383.4326241,436,91.21985816,51.0212766,18.55319149,1.546099291,19.32624113,54.88652482,59.5248227,42.5177305,0.773049645,106.6808511,5.411347518,3.092198582,1.546099291,3.865248227,1.546099291,2.319148936,0.238,0.320284698,0.443548387,0.763833085,0.275964392,24.46808511,9.75177305,377,436,87,50,15,1,21,58,68,50,0,119,6,3,0,7,0,7,0.231,0.328,0.443,0.771,0.275,27.3,11.5,0.7096774193279172,0.25806451610659764,0.021505376344534713,0.0443262411238532,0.7575757575757576,0.22727272727272727,0.015151515151515152,0.0481651376146789,71.89361703,66
112,Andrew Benintendi,CHW,128,553.7158082,621,146.7015986,100.374778,27.57548845,2.206039076,16.54529307,72.79928952,70.59325044,56.25399645,0.0,108.0959147,4.412078153,4.412078153,2.206039076,11.03019538,4.412078153,6.618117229,0.264,0.335115865,0.412350598,0.747466462,0.300254453,17.40674956,9.058614565,562,621,147,106,34,2,5,72,45,52,5,89,3,3,1,13,2,11,0.262,0.326,0.356,0.682,0.301,14.3,8.4,0.7711864407281015,0.21186440670478365,0.016949152536382694,0.0266429840096618,0.7464788732394366,0.23943661971830985,0.014084507042253521,0.0080515297906602,130.15630553,142
114,Austin Hays,BAL,136,516.6512456,566,128.911032,80.56939502,27.19217082,2.014234875,18.12811388,61.4341637,67.47686833,34.24199288,0.0,111.7900356,8.056939502,4.028469751,3.021352313,5.035587189,3.021352313,2.014234875,0.249,0.30411449,0.413255361,0.717369851,0.283505155,19.75088968,6.049822064,520,566,143,89,36,2,16,76,67,38,1,141,3,5,0,5,1,4,0.275,0.325,0.444,0.769,0.345,24.9,6.7,0.7272727274860847,0.2454545455333236,0.01818181818263879,0.0320284697526501,0.7007874015748031,0.28346456692913385,0.015748031496062992,0.0282685512367491,110.78291812,127
116,Daulton Varsho,TOR,133,520.9322638,581,122.2067736,69.3885918,24.85561497,2.071301248,25.8912656,73.5311943,76.63814617,47.6399287,1.035650624,135.6702317,6.213903743,4.142602496,3.106951872,15.53475936,6.213903743,9.320855615,0.234,0.30411449,0.439363817,0.743478307,0.264957265,23.35115865,8.199643494,527,581,116,70,23,3,20,65,61,45,0,135,4,3,1,16,7,9,0.22,0.285,0.389,0.674,0.256,23.2,7.7,0.7204301076831781,0.2580645161524767,0.021505376351231,0.0445632798623063,0.7291666666666666,0.23958333333333334,0.03125,0.0344234079173838,96.31550800000001,96
117,J.D. Martinez,LAD,131,430.2446429,479,107.775,65.8625,23.09464286,0.855357143,17.9625,56.45357143,62.44107143,40.20178571,1.710714286,121.4607143,3.421428571,3.421428571,0.855357143,0.855357143,0.0,0.855357143,0.25,0.317204301,0.433399602,0.750603903,0.305232558,25.35714286,8.392857143,432,479,117,55,27,2,33,61,103,34,1,149,2,9,0,1,0,1,0.271,0.321,0.572,0.893,0.324,31.1,7.1,0.7333333333333333,0.25714285717466945,0.00952380952540014,0.0375,0.6547619047619048,0.32142857142857145,0.023809523809523808,0.068893528183716,89.8125,84
