#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
378,Mason Englert,DET,0,10,10,43,0,1,0,0,1,,10,5,5,1,0,0,9,3,7.92,2.73,4.06,1.27
379,Tayler Scott,HOU,0,65,65,281,3,3,0,1,16,,61,33,31,8,2,3,64,28,8.8,3.88,4.25,1.36
380,Jordan Balazovic,DET,0,8,8,34,0,0,0,0,1,,8,4,3,1,0,0,7,3,8.17,3.5,3.89,1.34
381,Austin Voth,,0,53,53,226,3,3,0,0,0,,51,26,25,8,2,2,50,18,8.5,3.09,4.2,1.3
382,Nate Lavender,TBR,0,26,26,112,1,1,0,0,1,,23,12,11,3,1,1,28,12,9.56,4.19,3.89,1.34
383,Jack Perkins,ATH,0,10,10,43,0,0,0,0,1,,9,5,4,1,0,0,9,4,8.54,3.6,3.86,1.32
384,Taylor Clarke,KCR,0,10,10,43,0,0,0,0,1,,10,5,5,1,0,0,8,3,7.5,2.52,4.21,1.3
385,Justin Hagenman,NYM,0,17,17,72,1,1,0,0,1,,16,8,8,2,0,1,16,5,8.26,2.58,4.04,1.24
386,Matt Festa,,0,21,21,91,1,1,0,0,1,,20,11,10,3,0,1,20,8,8.41,3.47,4.38,1.34
387,Vince Velasquez,,0,12,12,51,1,1,0,0,1,,11,6,5,2,1,0,12,4,9.2,3.01,4.01,1.26
388,Sean Newcomb,BOS,0,12,12,53,1,1,0,0,1,,11,6,6,1,0,1,12,6,8.68,4.76,4.42,1.48
389,Austin Davis,SDP,0,24,24,105,1,1,0,0,1,,21,12,11,3,1,1,24,13,8.97,4.7,4.12,1.4
390,Anderson Pilar,ATL,0,54,54,232,3,3,0,0,7,,54,27,25,7,1,3,47,19,7.81,3.1,4.14,1.34
391,Matt Moore,,0,50,50,218,2,2,0,0,0,,47,25,24,7,3,2,48,22,8.61,3.96,4.25,1.38
392,Devin Sweet,PHI,0,36,36,154,2,2,0,0,1,,33,18,17,5,1,2,35,14,8.71,3.6,4.26,1.33
393,Kaleb Ort,HOU,0,62,62,265,3,3,0,0,13,,57,31,29,9,2,3,63,24,9.2,3.56,4.25,1.31
394,Vinny Nittoli,MIL,0,19,19,82,1,1,0,0,1,,18,10,9,3,0,1,17,7,8.29,3.11,4.3,1.31
395,Adrian Houser,TEX,0,17,17,73,1,1,0,0,1,,18,9,8,2,0,1,13,5,6.99,2.87,4.21,1.36
396,Eric Orze,TBR,0,41,41,176,2,2,0,0,1,,37,20,18,5,1,2,42,18,9.16,3.91,3.96,1.34
397,Tyler Mattison,DET,0,28,28,120,1,1,0,0,1,,25,13,12,3,1,1,28,12,8.87,3.84,4.01,1.33
398,Francis Pena,SDP,0,35,35,151,2,2,0,0,1,,34,17,16,4,1,2,29,14,7.5,3.57,4.11,1.37
399,Sam Hentges,CLE,0,1,1,4,0,0,0,0,0,,1,0,0,0,0,0,1,0,9.63,3.05,3.36,1.23
400,Yerry De Los Santos,NYY,0,38,38,165,2,2,0,0,1,,38,19,18,5,1,1,31,14,7.45,3.3,4.2,1.38
