#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
762,Christian Roa,MIA,13,23,72.2,333,4,6,,0,0,,71,42,39,10,0,5,68,44,8.42,5.45,4.83,1.58
763,Riley Thompson,,14,27,87.2,390,4,5,,0,0,,91,52,48,13,1,1,67,40,6.88,4.1,4.93,1.49
764,John O'Reilly,,7,30,67.2,302,2,2,,0,0,,75,40,37,9,0,6,40,23,5.32,3.06,4.92,1.45
765,Vladimir Gutierrez,,11,14,61.1,273,3,5,,0,0,,63,38,35,9,0,4,46,30,6.75,4.4,5.14,1.52
766,Kevin Miranda,TOR,9,18,56.1,247,3,5,,0,0,,64,32,30,9,0,2,30,15,4.8,2.4,4.8,1.4
767,Adam Plutko,,12,16,64,280,3,5,,0,0,,71,39,36,12,0,2,48,21,6.75,2.95,5.06,1.44
768,Garrett Hill,,8,35,71.1,319,3,5,,0,0,,68,41,38,9,0,5,63,37,7.95,4.67,4.8,1.47
769,Nick Payero,SEA,13,19,74.1,326,2,2,,0,0,,82,43,40,12,0,2,48,23,5.81,2.79,4.85,1.41
770,Karl Kauffmann,COL,24,26,115.1,534,5,10,,0,0,,137,79,73,17,0,6,62,52,4.84,4.06,5.7,1.64
771,Logan Gragg,,9,27,80.1,351,3,5,,0,0,,84,45,42,11,0,6,54,26,6.05,2.91,4.71,1.37
772,Mason Green,COL,15,22,86,399,5,8,,0,0,,96,56,52,13,0,4,60,45,6.28,4.71,5.44,1.64
773,Travis MacGregor,,5,36,75,333,3,5,,0,0,,75,43,40,10,0,9,61,31,7.32,3.72,4.8,1.41
774,Lucas Knowles,WSN,5,23,49.2,221,3,4,,0,0,,54,30,28,7,0,2,34,19,6.16,3.44,5.07,1.47
775,Luis Ledo,,5,25,48.1,220,2,3,,0,0,,50,29,27,6,0,2,37,26,6.89,4.84,5.03,1.57
776,Joey Mancini,HOU,9,25,90.1,400,5,6,,0,0,,91,52,48,13,0,8,69,36,6.88,3.59,4.78,1.41
